"","fire_year","number_fires","area_burned","mean_fire_size","median_fire_size","max_fire_size","fire_size_SD","fire_size_SE"
"1",1919,42,70825.2,1686.31428571429,738.4,16893.5,3093.73935566113,477.374346488076
"2",1920,49,28870.6,589.195918367347,242.4,5458.5,1055.02791885633,150.718274122333
"3",1921,24,22043.6,918.483333333333,163,7895.1,2164.81642472373,441.891302280777
"4",1922,40,32670.2,816.755,247.7,9006.1,1556.10317302631,246.041515048912
"5",1923,19,9163.1,482.268421052632,122.2,7096.2,1603.44602031327,367.855745472002
"6",1924,25,15886.3,635.452,111.9,8800.8,1800.98984800026,360.197969600052
"7",1925,17,10203.5,600.205882352941,170.7,4194.6,1163.62602479845,282.220765233035
"8",1926,36,32912.5,914.236111111111,141.05,7385.4,1789.49953724542,298.249922874237
"9",1927,2,507.4,253.7,253.7,480.1,320.177950521269,226.4
"10",1928,5,3790.1,758.02,85.3,3466.3,1514.5892948255,677.344924244657
"11",1929,47,92352.5,1964.94680851064,382.6,13068.7,3041.52454527338,443.65195193694
"12",1930,15,13941.5,929.433333333333,82.4,11343.6,2886.50664290311,745.292810445389
"13",1931,51,204610.7,4011.97450980392,165.7,68465.7,11587.7397776761,1622.6081229579
"14",1932,17,10988.3,646.370588235294,237,5008.7,1190.4807845807,288.734001182024
"15",1933,20,30544.1,1527.205,110.15,9333.9,2862.42773339713,640.058299255664
"16",1934,32,113401.3,3543.790625,262.25,36255.7,7661.50485396496,1354.37550908307
"17",1935,3,925.1,308.366666666667,42,858.1,476.158905548697,274.910472295578
"18",1936,34,125508,3691.41176470588,226.8,35648.6,8318.07238005642,1426.53764429266
"19",1937,2,259.4,129.7,129.7,221,129.117698244664,91.3
"20",1938,11,7908,718.909090909091,100.5,4435.5,1331.66990838912,401.513584612151
"21",1939,12,10259.5,854.958333333333,103.65,8542.1,2425.62151790135,700.216618156247
"22",1940,26,51617.1,1985.27307692308,291,22610,4522.33969962962,886.903783673338
"23",1941,4,390.2,97.55,87.2,194.4,83.561494322046,41.780747161023
"24",1942,0,0,0,0,0,NA,NA
"25",1943,4,415,103.75,87.6,188.7,61.1474992674816,30.5737496337408
"26",1944,19,1916,100.842105263158,78.8,314.4,78.9731340800955,18.1176795110434
"27",1945,12,7602.7,633.558333333333,160.3,2268.5,847.003464046081,244.508838985775
"28",1946,12,693.4,57.7833333333333,57.1,103.7,26.0349706542891,7.51564865779892
"29",1947,4,397.7,99.425,104.65,141.8,39.9598444274583,19.9799222137291
"30",1948,0,0,0,0,0,NA,NA
"31",1949,7,621.1,88.7285714285714,53.5,254.5,79.29036751682,29.9689419732028
"32",1950,2,496.1,248.05,248.05,464.3,305.823682863182,216.25
"33",1951,6,4984.9,830.816666666667,225.15,3322.6,1281.30873627969,523.092101142598
"34",1952,2,240.9,120.45,120.45,179.9,84.0749962830805,59.45
"35",1953,6,1157,192.833333333333,70.5,856.3,325.582657195783,132.91856320486
"36",1954,1,54.3,54.3,54.3,54.3,NA,NA
"37",1955,1,20.9,20.9,20.9,20.9,NA,NA
"38",1956,2,648.9,324.45,324.45,371.1,65.9730626847049,46.65
"39",1957,4,539,134.75,52.9,397.4,175.446335574918,87.7231677874589
"40",1958,6,1827.6,304.6,305.8,582.7,280.115140611856,114.356527287835
"41",1959,7,1212.8,173.257142857143,107.9,383.9,125.035766311655,47.2590775212897
"42",1960,15,20382.2,1358.81333333333,289.2,4269.5,1690.94286119003,436.599569385154
"43",1961,2,188.9,94.45,94.45,137.2,60.4576297914498,42.75
"44",1962,4,2731,682.75,48.05,2599.6,1277.92498606139,638.962493030694
"45",1963,2,86.5,43.25,43.25,52.9,13.6471608769004,9.65
"46",1964,0,0,0,0,0,NA,NA
"47",1965,0,0,0,0,0,NA,NA
